,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95
100,0.996,0.994,0.968,0.836,0.64,0.414,0.156,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,1.0,0.99,0.968,0.898,0.692,0.48,0.22,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.996,0.982,0.952,0.89,0.702,0.478,0.274,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.998,0.994,0.948,0.894,0.754,0.512,0.312,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0.998,0.998,0.966,0.898,0.75,0.552,0.302,0.16,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.998,0.99,0.962,0.906,0.764,0.594,0.318,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,1.0,0.99,0.976,0.896,0.774,0.54,0.286,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.994,0.99,0.97,0.914,0.752,0.522,0.324,0.17,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,1.0,0.982,0.986,0.914,0.782,0.592,0.334,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.998,0.986,0.968,0.914,0.806,0.588,0.332,0.124,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.996,0.988,0.982,0.916,0.792,0.588,0.366,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.998,0.99,0.972,0.908,0.79,0.6,0.33,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,1.0,0.996,0.97,0.92,0.8,0.59,0.364,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,0.998,0.994,0.97,0.898,0.776,0.59,0.334,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,0.998,0.996,0.98,0.928,0.804,0.616,0.384,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,0.996,0.99,0.97,0.89,0.822,0.628,0.392,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,1.0,0.998,0.988,0.918,0.778,0.608,0.36,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,1.0,0.998,0.974,0.926,0.8,0.614,0.404,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,1.0,0.994,0.974,0.92,0.798,0.614,0.376,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,1.0,0.994,0.98,0.904,0.8,0.59,0.414,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,1.0,0.992,0.964,0.932,0.81,0.598,0.39,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,1.0,0.986,0.98,0.91,0.8,0.598,0.424,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.998,0.998,0.966,0.934,0.812,0.584,0.394,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400,1.0,0.996,0.986,0.916,0.784,0.608,0.436,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500,1.0,0.986,0.97,0.922,0.772,0.588,0.36,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2600,1.0,0.992,0.97,0.9,0.846,0.61,0.41,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2700,1.0,0.998,0.982,0.932,0.824,0.594,0.404,0.126,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800,0.998,0.992,0.98,0.922,0.796,0.638,0.386,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2900,1.0,0.994,0.966,0.92,0.776,0.634,0.416,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,0.998,0.992,0.978,0.93,0.832,0.63,0.42,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3100,0.996,0.992,0.976,0.92,0.816,0.642,0.404,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3200,1.0,0.998,0.99,0.934,0.808,0.646,0.402,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3300,1.0,0.99,0.972,0.928,0.808,0.6,0.426,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3400,0.998,0.992,0.966,0.922,0.818,0.62,0.408,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500,0.996,0.988,0.982,0.94,0.832,0.618,0.442,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600,1.0,0.992,0.974,0.92,0.806,0.67,0.452,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3700,1.0,0.996,0.974,0.92,0.836,0.658,0.468,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3800,0.998,0.988,0.982,0.928,0.8,0.626,0.43,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3900,1.0,0.996,0.964,0.936,0.822,0.628,0.456,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000,1.0,0.998,0.976,0.92,0.806,0.634,0.386,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4100,0.998,0.998,0.978,0.926,0.84,0.652,0.426,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4200,0.996,0.99,0.98,0.93,0.792,0.696,0.444,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4300,0.996,0.994,0.986,0.918,0.816,0.634,0.438,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4400,1.0,0.992,0.986,0.914,0.864,0.64,0.408,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4500,1.0,0.994,0.98,0.92,0.848,0.614,0.434,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4600,0.998,0.996,0.982,0.916,0.8,0.614,0.43,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4700,1.0,0.994,0.972,0.93,0.804,0.626,0.418,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4800,1.0,0.996,0.978,0.936,0.826,0.628,0.43,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4900,1.0,0.992,0.976,0.944,0.8,0.646,0.442,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000,0.998,0.996,0.976,0.934,0.83,0.66,0.438,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5100,1.0,0.994,0.96,0.934,0.83,0.658,0.45,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5200,1.0,0.996,0.988,0.904,0.81,0.66,0.446,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5300,1.0,0.994,0.98,0.926,0.812,0.658,0.45,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5400,1.0,0.988,0.976,0.948,0.826,0.662,0.47,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5500,1.0,0.992,0.986,0.92,0.846,0.686,0.428,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5600,1.0,0.988,0.972,0.928,0.834,0.636,0.428,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
