,robust
45800,0.358
45900,0.342
46000,0.386
46100,0.334
46200,0.388
46300,0.35
46400,0.366
46500,0.388
46600,0.398
46700,0.396
46800,0.356
46900,0.362
47000,0.346
47100,0.386
47200,0.378
47300,0.376
47400,0.378
47500,0.39
47600,0.382
47700,0.366
47800,0.366
47900,0.388
48000,0.34
48100,0.36
48200,0.362
48300,0.4
48400,0.366
48500,0.338
48600,0.346
48700,0.39
48800,0.33
48900,0.358
49000,0.4
49100,0.372
49200,0.376
49300,0.346
49400,0.36
49500,0.386
49600,0.342
49700,0.4
49800,0.384
49900,0.404
50000,0.408
50100,0.344
50200,0.358
50300,0.364
50400,0.352
50500,0.374
50600,0.34
50700,0.378
50800,0.368
50900,0.378
51000,0.356
51100,0.412
51200,0.352
51300,0.39
51400,0.342
51500,0.368
51600,0.386
51700,0.406
51800,0.336
51900,0.378
52000,0.378
52100,0.338
52200,0.39
52300,0.388
52400,0.364
52500,0.398
52600,0.374
52700,0.372
52800,0.384
52900,0.368
53000,0.35
53100,0.354
53200,0.384
53300,0.382
53400,0.396
53500,0.376
53600,0.346
53700,0.368
53800,0.39
53900,0.376
54000,0.396
54100,0.366
54200,0.372
54300,0.35
54400,0.394
54500,0.358
54600,0.36
54700,0.402
54800,0.412
54900,0.362
55000,0.36
55100,0.404
55200,0.356
55300,0.356
55400,0.39
55500,0.374
55600,0.398
55700,0.356
55800,0.362
55900,0.37
56000,0.384
56100,0.352
56200,0.36
56300,0.36
56400,0.314
56500,0.366
56600,0.332
56700,0.356
56800,0.34
56900,0.354
57000,0.348
57100,0.368
57200,0.404
57300,0.392
57400,0.372
57500,0.356
57600,0.364
57700,0.372
57800,0.348
57900,0.374
58000,0.392
58100,0.392
58200,0.374
58300,0.39
58400,0.35
58500,0.418
58600,0.396
58700,0.39
58800,0.404
58900,0.344
59000,0.368
59100,0.362
59200,0.398
59300,0.39
59400,0.362
59500,0.39
59600,0.34
59700,0.376
59800,0.376
59900,0.334
60000,0.334
60100,0.396
60200,0.364
60300,0.374
60400,0.358
60500,0.364
60600,0.366
60700,0.344
60800,0.386
60900,0.39
61000,0.364
61100,0.36
61200,0.374
61300,0.39
61400,0.352
61500,0.38
61600,0.378
61700,0.39
61800,0.396
61900,0.39
62000,0.368
62100,0.406
62200,0.366
62300,0.398
62400,0.388
62500,0.376
62600,0.392
62700,0.366
62800,0.396
62900,0.38
63000,0.424
63100,0.388
63200,0.348
63300,0.382
63400,0.412
63500,0.42
63600,0.404
63700,0.352
63800,0.388
63900,0.406
64000,0.354
64100,0.44
64200,0.376
64300,0.384
64400,0.364
64500,0.422
64600,0.396
64700,0.388
64800,0.372
64900,0.426
65000,0.388
65100,0.384
65200,0.414
65300,0.388
65400,0.384
65500,0.36
65600,0.402
65700,0.406
65800,0.406
65900,0.356
66000,0.426
66100,0.396
66200,0.384
66300,0.4
66400,0.402
66500,0.41
66600,0.342
66700,0.342
66800,0.378
66900,0.418
67000,0.432
67100,0.404
67200,0.384
67300,0.416
67400,0.414
67500,0.406
67600,0.374
67700,0.39
67800,0.322
67900,0.376
68000,0.386
68100,0.36
68200,0.406
68300,0.396
68400,0.412
68500,0.386
68600,0.384
68700,0.388
68800,0.352
68900,0.384
69000,0.39
69100,0.368
69200,0.362
69300,0.438
69400,0.404
69500,0.414
69600,0.364
69700,0.364
69800,0.432
69900,0.418
70000,0.394
70100,0.398
70200,0.368
70300,0.392
70400,0.386
70500,0.384
70600,0.366
70700,0.362
70800,0.426
70900,0.37
71000,0.382
71100,0.414
71200,0.396
71300,0.354
71400,0.43
71500,0.36
71600,0.408
71700,0.34
71800,0.372
71900,0.38
72000,0.402
72100,0.368
72200,0.432
72300,0.37
72400,0.396
72500,0.398
72600,0.41
72700,0.388
72800,0.378
72900,0.38
73000,0.42
73100,0.432
73200,0.426
73300,0.406
73400,0.372
73500,0.376
73600,0.398
73700,0.396
73800,0.406
73900,0.374
74000,0.39
74100,0.446
74200,0.392
74300,0.436
74400,0.42
74500,0.38
74600,0.396
74700,0.398
74800,0.392
74900,0.374
75000,0.394
75100,0.396
75200,0.384
75300,0.39
75400,0.38
75500,0.376
75600,0.41
75700,0.362
75800,0.392
75900,0.378
76000,0.432
76100,0.362
76200,0.39
76300,0.434
76400,0.452
76500,0.398
76600,0.438
76700,0.378
76800,0.386
76900,0.444
77000,0.392
77100,0.406
77200,0.384
77300,0.418
77400,0.392
77500,0.392
77600,0.386
77700,0.372
77800,0.37
77900,0.422
78000,0.446
78100,0.366
78200,0.402
78300,0.42
78400,0.368
78500,0.354
78600,0.402
78700,0.382
78800,0.396
78900,0.382
79000,0.39
79100,0.404
79200,0.37
79300,0.372
79400,0.382
79500,0.394
79600,0.41
79700,0.402
79800,0.386
79900,0.384
80000,0.44
80100,0.368
80200,0.398
80300,0.402
80400,0.414
80500,0.424
80600,0.412
80700,0.4
80800,0.442
80900,0.398
81000,0.406
81100,0.382
81200,0.386
81300,0.412
81400,0.416
81500,0.392
81600,0.388
81700,0.37
81800,0.332
81900,0.434
82000,0.38
82100,0.444
82200,0.38
82300,0.376
82400,0.41
82500,0.398
82600,0.41
82700,0.376
82800,0.392
82900,0.374
83000,0.394
83100,0.406
83200,0.376
83300,0.362
83400,0.456
83500,0.386
83600,0.386
83700,0.456
83800,0.402
83900,0.418
84000,0.446
84100,0.402
84200,0.43
84300,0.432
84400,0.392
84500,0.384
84600,0.424
84700,0.394
84800,0.402
84900,0.434
85000,0.368
85100,0.41
85200,0.386
85300,0.4
85400,0.38
85500,0.368
85600,0.402
85700,0.402
85800,0.424
85900,0.432
86000,0.386
86100,0.382
86200,0.43
86300,0.418
86400,0.43
86500,0.414
86600,0.418
86700,0.408
86800,0.416
86900,0.402
87000,0.378
87100,0.404
87200,0.41
87300,0.394
87400,0.398
87500,0.37
87600,0.42
87700,0.42
87800,0.432
87900,0.396
88000,0.412
88100,0.424
88200,0.39
88300,0.424
88400,0.398
88500,0.404
88600,0.436
88700,0.394
88800,0.44
88900,0.388
89000,0.44
89100,0.398
89200,0.4
89300,0.396
89400,0.438
89500,0.4
89600,0.424
89700,0.382
89800,0.422
89900,0.426
90000,0.392
90100,0.418
90200,0.42
90300,0.428
90400,0.422
90500,0.408
90600,0.384
90700,0.392
90800,0.43
90900,0.406
91000,0.404
91100,0.44
91200,0.386
91300,0.436
91400,0.414
91500,0.42
91600,0.412
91700,0.368
91800,0.378
91900,0.392
92000,0.406
92100,0.39
92200,0.418
92300,0.456
92400,0.398
92500,0.388
92600,0.43
92700,0.418
92800,0.346
92900,0.42
93000,0.358
93100,0.444
93200,0.42
93300,0.408
93400,0.442
93500,0.41
93600,0.402
93700,0.45
93800,0.406
93900,0.372
94000,0.404
94100,0.424
94200,0.42
94300,0.398
94400,0.392
94500,0.384
94600,0.422
94700,0.368
94800,0.402
94900,0.386
95000,0.416
95100,0.422
95200,0.404
95300,0.374
95400,0.43
95500,0.402
95600,0.404
95700,0.398
95800,0.416
95900,0.434
96000,0.44
96100,0.412
96200,0.44
96300,0.416
96400,0.41
96500,0.36
96600,0.434
96700,0.422
96800,0.384
96900,0.416
97000,0.44
97100,0.372
97200,0.426
97300,0.352
97400,0.418
97500,0.392
