,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95
100,0.998,0.99,0.96,0.844,0.632,0.366,0.16,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,1.0,0.986,0.972,0.868,0.714,0.46,0.234,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,1.0,0.998,0.96,0.898,0.702,0.478,0.256,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,1.0,0.994,0.96,0.884,0.776,0.476,0.27,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,1.0,0.988,0.968,0.894,0.754,0.51,0.324,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,1.0,0.996,0.962,0.888,0.77,0.58,0.332,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,0.998,0.994,0.976,0.9,0.772,0.546,0.31,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.998,0.99,0.984,0.898,0.758,0.558,0.352,0.146,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,1.0,0.988,0.96,0.908,0.774,0.572,0.356,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.996,0.992,0.978,0.916,0.744,0.612,0.34,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.998,0.992,0.972,0.904,0.816,0.6,0.352,0.134,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,1.0,0.994,0.962,0.928,0.782,0.598,0.34,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.998,0.994,0.984,0.942,0.778,0.58,0.37,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,1.0,0.994,0.976,0.902,0.772,0.6,0.358,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,1.0,0.986,0.974,0.93,0.768,0.586,0.394,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,1.0,0.99,0.97,0.918,0.812,0.584,0.382,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,0.994,0.994,0.972,0.932,0.83,0.554,0.366,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,1.0,0.986,0.968,0.92,0.826,0.582,0.38,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,0.996,0.996,0.968,0.926,0.774,0.598,0.384,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,1.0,0.994,0.98,0.928,0.83,0.586,0.392,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,1.0,0.99,0.972,0.932,0.81,0.668,0.392,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,1.0,0.994,0.984,0.932,0.802,0.634,0.384,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.998,1.0,0.978,0.908,0.794,0.594,0.448,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400,0.996,0.992,0.972,0.938,0.798,0.6,0.392,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500,0.998,0.996,0.984,0.926,0.848,0.676,0.444,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2600,1.0,0.99,0.972,0.94,0.796,0.622,0.418,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2700,0.998,0.992,0.978,0.914,0.776,0.638,0.426,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800,1.0,0.996,0.974,0.904,0.822,0.62,0.43,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2900,0.998,0.99,0.968,0.926,0.83,0.626,0.394,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,0.998,0.988,0.96,0.93,0.838,0.64,0.446,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3100,0.998,1.0,0.98,0.942,0.812,0.668,0.402,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3200,1.0,0.996,0.974,0.906,0.816,0.606,0.458,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3300,1.0,0.998,0.97,0.922,0.822,0.662,0.414,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3400,0.998,0.992,0.982,0.946,0.806,0.62,0.448,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500,0.998,0.998,0.978,0.936,0.856,0.656,0.426,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600,0.998,0.988,0.976,0.92,0.81,0.64,0.43,0.164,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3700,0.998,1.0,0.978,0.91,0.846,0.648,0.458,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3800,1.0,0.998,0.98,0.92,0.802,0.642,0.416,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
