,0,1
0,50,50
1,50,50
2,39,41
3,32,32
4,27,24
5,21,19
6,18,14
7,17,11
8,20,9
9,30,8
10,36,7
11,46,5
12,49,5
13,53,3
14,58,3
15,60,3
16,62,4
17,66,2
18,67,2
19,65,2
20,68,1
21,70,1
22,66,0
23,67,2
24,75,2
25,73,3
26,79,3
27,79,2
28,79,3
29,76,3
30,75,3
31,68,4
32,67,4
33,62,2
34,62,1
35,54,1
36,52,1
37,49,2
38,50,1
39,46,0
40,46,2
41,41,1
42,41,0
43,40,0
44,37,0
45,31,0
46,27,1
47,24,1
48,24,2
49,27,1
50,25,1
51,27,4
52,23,3
53,23,2
54,24,1
55,26,2
56,21,3
57,17,4
58,15,3
59,13,5
60,11,4
61,16,4
62,17,5
63,13,5
64,13,4
65,13,2
66,11,2
67,10,2
68,12,3
69,11,4
70,10,3
71,9,2
72,7,2
73,5,2
74,8,1
75,6,1
76,6,0
77,8,2
78,6,4
79,7,2
80,6,2
81,6,2
82,4,2
83,3,2
84,3,1
85,2,1
86,3,1
87,3,1
88,3,2
89,3,1
90,2,2
91,2,1
92,2,1
93,2,0
94,3,0
95,2,2
96,2,2
97,2,2
98,2,2
99,2,2
100,2,2
101,2,2
102,1,2
103,2,1
104,3,2
105,2,2
106,3,1
107,3,0
108,3,0
109,2,0
110,3,0
111,2,0
112,1,0
113,0,1
114,1,1
115,1,1
116,1,2
117,0,2
118,0,1
119,0,0
120,0,0
121,0,1
122,0,0
123,0,0
124,0,1
125,0,0
126,0,0
127,0,1
128,0,2
129,0,1
130,0,0
131,0,0
132,0,0
133,0,2
134,0,2
135,0,1
136,0,0
137,0,1
138,0,0
139,0,0
140,0,2
141,0,1
142,0,1
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,2
149,0,1
150,0,1
151,0,1
152,0,0
153,0,1
154,0,2
155,0,1
156,0,1
157,0,0
158,0,0
159,0,2
160,0,3
161,0,3
162,0,4
163,0,3
164,0,2
165,0,2
166,0,2
167,0,2
168,0,2
169,0,2
170,0,2
171,0,2
172,0,1
173,0,0
174,0,0
175,0,1
176,0,1
177,0,1
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,2
185,0,1
186,0,1
187,0,1
188,0,0
189,0,2
190,0,2
191,0,1
192,0,1
193,0,1
194,0,1
195,0,2
196,0,2
197,0,2
198,0,3
199,0,3
200,0,3
201,0,2
202,0,3
203,0,5
204,0,6
205,0,5
206,0,7
207,0,5
208,0,5
209,0,5
210,0,4
211,0,4
212,0,5
213,0,4
214,0,5
215,0,6
216,0,5
217,0,7
218,0,6
219,0,5
220,0,5
221,0,8
222,0,6
223,0,7
224,0,7
225,0,5
226,0,4
227,0,3
228,0,2
229,0,3
230,0,5
231,0,4
232,0,4
233,0,5
234,0,8
235,0,7
236,0,5
237,0,8
238,0,6
239,0,5
240,0,5
241,0,4
242,0,4
243,0,6
244,0,5
245,0,4
246,0,6
247,0,4
248,0,4
249,0,4
250,0,5
251,0,4
252,0,4
253,0,5
254,0,6
255,0,4
256,0,9
257,0,10
258,0,13
259,0,12
260,0,15
261,0,14
262,0,12
263,0,10
264,0,12
265,0,13
266,0,14
267,0,15
268,0,13
269,0,15
270,0,12
271,0,10
272,0,8
273,0,8
274,0,9
275,0,12
276,0,12
277,0,10
278,0,9
279,0,10
280,0,10
281,0,8
282,0,8
283,0,7
284,0,7
285,0,7
286,0,7
287,0,5
288,0,7
289,0,8
290,0,6
291,0,6
292,0,7
293,0,6
294,0,5
295,0,7
296,0,7
297,0,7
298,0,5
299,0,7
300,0,9
301,0,9
302,0,12
303,0,11
304,0,13
305,0,13
306,0,13
307,0,16
308,0,13
309,0,11
310,0,14
311,0,13
312,0,12
313,0,10
314,0,10
315,0,12
316,0,10
317,0,11
318,0,11
319,0,10
320,0,8
321,0,7
322,0,6
323,0,7
324,0,7
325,0,6
326,0,7
327,0,11
328,0,8
329,0,6
330,0,7
331,0,9
332,0,9
333,0,10
334,0,9
335,0,8
336,0,7
337,0,9
338,0,8
339,0,9
340,0,8
341,0,6
342,0,6
343,0,7
344,0,6
345,0,7
346,0,7
347,0,7
348,0,6
349,0,9
350,0,9
351,0,10
352,0,10
353,0,11
354,0,9
355,0,11
356,0,11
357,0,11
358,0,11
359,0,10
360,0,8
361,0,8
362,0,9
363,0,10
364,0,12
365,0,12
366,0,13
