,id,status,viralParams,pop,tau,phase
10,10,S,,[],0.0,64.0
11,11,R,F,"[1.5, 1.5, 1.5, 1.5, 1.5, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 1.5, 1.5, 1.5, 1.5, 1.5, 0.14999999999999997, 0.14999999999999997, 1.5, 1.5, 1.5, 0.014999999999999993, 1.5, 1.5, 1.5, 1.5, 1.5, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 0.014999999999999993, 0.014999999999999993, 1.5, 0.14999999999999997, 1.5, 1.5, 0.14999999999999997, 0.14999999999999997, 1.5, 1.5, 1.5, 1.5, 1.5, 0.014999999999999993, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 0.14999999999999997, 0.14999999999999997, 1.5, 1.5, 1.5, 0.0014999999999999992, 0.0014999999999999992, 0.0014999999999999992]",118.0,117.0
12,12,S,,[],0,0
13,13,S,,[],0.0,38.0
14,14,S,,[],0.0,56.0
15,15,S,,[],0,0
16,16,S,,[],0,0
17,17,S,,[],0,0
18,18,S,,[],0,0
19,19,S,,[],0,0
20,20,S,,[],0.0,47.0
21,21,S,,[],0,0
22,22,S,,[],0.0,78.0
23,23,S,,[],0,0
24,24,S,,[],0,0
25,25,S,,[],0.0,22.0
