,0,1
0,50,50
1,50,50
2,38,42
3,30,34
4,21,30
5,18,22
6,13,19
7,15,13
8,18,9
9,22,7
10,29,6
11,46,3
12,52,2
13,62,4
14,66,3
15,69,3
16,68,4
17,69,4
18,78,3
19,74,3
20,66,3
21,62,3
22,60,3
23,65,4
24,68,3
25,70,2
26,71,2
27,73,2
28,72,3
29,77,2
30,68,1
31,74,1
32,67,1
33,63,1
34,66,1
35,65,0
36,60,0
37,54,1
38,52,1
39,44,2
40,43,2
41,41,3
42,35,3
43,34,3
44,29,3
45,32,5
46,29,4
47,27,4
48,22,5
49,22,6
50,26,4
51,23,3
52,22,3
53,19,3
54,18,4
55,18,3
56,13,3
57,14,3
58,14,2
59,12,1
60,14,1
61,16,1
62,13,1
63,16,1
64,16,1
65,15,1
66,15,1
67,13,1
68,14,1
69,12,1
70,11,1
71,9,1
72,11,1
73,14,0
74,13,0
75,16,0
76,18,2
77,19,2
78,17,4
79,17,4
80,18,2
81,14,2
82,16,2
83,19,1
84,20,0
85,18,1
86,21,1
87,20,2
88,19,1
89,18,1
90,18,1
91,19,0
92,21,1
93,18,2
94,16,1
95,15,1
96,14,0
97,11,0
98,9,0
99,8,0
100,6,0
101,7,0
102,8,0
103,6,1
104,5,0
105,4,0
106,3,0
107,7,0
108,5,0
109,6,1
110,5,1
111,4,1
112,4,1
113,5,1
114,3,1
115,3,2
116,6,1
117,7,1
118,9,0
119,9,1
120,9,0
121,10,0
122,11,0
123,10,1
124,9,0
125,7,0
126,6,0
127,5,0
128,6,0
129,5,0
130,4,0
131,4,0
132,3,0
133,2,0
134,2,0
135,3,1
136,4,1
137,4,1
138,4,2
139,4,1
140,5,1
141,6,1
142,7,1
143,8,1
144,9,1
145,11,0
146,17,0
147,17,0
148,17,0
149,14,0
150,12,0
151,14,0
152,12,0
153,11,0
154,11,0
155,11,0
156,11,0
157,8,0
158,8,0
159,7,0
160,6,0
161,8,0
162,7,0
163,9,0
164,10,1
165,8,1
166,7,1
167,5,1
168,4,2
169,2,3
170,2,3
171,4,2
172,4,0
173,7,0
174,7,0
175,7,0
176,5,0
177,5,0
178,4,0
179,5,1
180,5,1
181,3,1
182,2,1
183,2,1
184,1,2
185,1,1
186,4,0
187,3,0
188,3,1
189,3,2
190,3,2
191,4,2
192,4,1
193,4,1
194,4,2
195,2,3
196,1,3
197,0,3
198,1,3
199,1,3
200,1,2
201,3,1
202,3,1
203,3,2
204,2,2
205,2,2
206,1,2
207,1,3
208,1,2
209,1,1
210,0,1
211,0,0
212,0,1
213,0,1
214,1,0
215,1,0
216,1,0
217,1,0
218,1,0
219,0,1
220,0,0
221,1,1
222,2,1
223,1,2
224,1,1
225,0,3
226,0,3
227,0,4
228,0,3
229,0,2
230,1,2
231,0,2
232,0,1
233,0,0
234,0,0
235,0,3
236,0,2
237,0,2
238,0,2
239,0,1
240,0,2
241,0,2
242,0,2
243,0,1
244,0,1
245,0,1
246,0,1
247,0,0
248,0,3
249,0,2
250,0,1
251,0,1
252,0,3
253,0,2
254,0,2
255,0,1
256,0,0
257,0,1
258,0,3
259,0,3
260,0,3
261,0,2
262,0,1
263,0,3
264,0,4
265,0,4
266,0,6
267,0,5
268,0,4
269,0,5
270,0,6
271,0,5
272,0,5
273,0,4
274,0,3
275,0,5
276,0,5
277,0,4
278,0,4
279,0,3
280,0,2
281,0,1
282,0,0
283,0,3
284,0,6
285,0,6
286,0,6
287,0,6
288,0,5
289,0,5
290,0,4
291,0,3
292,0,3
293,0,3
294,0,2
295,0,1
296,0,1
297,0,1
298,0,3
299,0,6
300,0,6
301,0,5
302,0,6
303,0,7
304,0,6
305,0,6
306,0,4
307,0,5
308,0,5
309,0,4
310,0,3
311,0,2
312,0,1
313,0,1
314,0,2
315,0,2
316,0,3
317,0,2
318,0,4
319,0,3
320,0,5
321,0,5
322,0,4
323,0,5
324,0,4
325,0,5
326,0,5
327,0,5
328,0,4
329,0,5
330,0,7
331,0,10
332,0,12
333,0,10
334,0,11
335,0,10
336,0,11
337,0,10
338,0,12
339,0,10
340,0,9
341,0,10
342,0,10
343,0,9
344,0,7
345,0,8
346,0,8
347,0,9
348,0,9
349,0,9
350,0,8
351,0,7
352,0,7
353,0,7
354,0,6
355,0,6
356,0,4
357,0,3
358,0,3
359,0,4
360,0,5
361,0,6
362,0,6
363,0,5
364,0,5
365,0,5
366,0,5
