,0,1
0,50,50
1,50,50
2,41,39
3,33,31
4,25,26
5,20,20
6,19,13
7,16,9
8,16,8
9,13,6
10,15,5
11,18,5
12,19,5
13,24,4
14,24,4
15,33,4
16,36,5
17,46,5
18,55,6
19,67,9
20,76,13
21,77,13
22,90,13
23,109,12
24,103,16
25,114,18
26,117,16
27,118,11
28,129,13
29,143,17
30,146,15
31,139,18
32,137,21
33,131,20
34,119,22
35,122,23
36,130,25
37,126,23
38,120,22
39,114,23
40,118,19
41,114,19
42,119,23
43,114,21
44,116,24
45,104,25
46,102,29
47,104,27
48,104,23
49,107,15
50,107,19
51,102,17
52,99,17
53,100,16
54,103,17
55,100,17
56,99,23
57,93,19
58,90,19
59,93,17
60,83,18
61,73,21
62,74,20
63,72,20
64,72,20
65,80,21
66,79,23
67,72,18
68,75,15
69,66,17
70,62,18
71,58,22
72,50,20
73,45,20
74,51,12
75,52,15
76,47,23
77,54,21
78,56,22
79,51,19
80,47,21
81,43,22
82,45,19
83,48,20
84,53,15
85,49,18
86,43,22
87,49,15
88,45,15
89,43,17
90,43,27
91,40,28
92,40,22
93,36,26
94,36,26
95,33,21
96,28,22
97,30,20
98,33,24
99,33,23
100,33,19
101,31,22
102,30,25
103,33,26
104,38,24
105,37,30
106,42,27
107,37,27
108,37,25
109,38,21
110,37,28
111,36,30
112,34,29
113,31,30
114,27,29
115,25,32
116,29,30
117,26,30
118,26,34
119,28,37
120,25,36
121,25,36
122,26,38
123,23,40
124,25,42
125,22,37
126,23,32
127,21,36
128,18,41
129,18,45
130,22,39
131,23,34
132,24,31
133,26,34
134,23,33
135,23,34
136,20,37
137,22,40
138,19,41
139,17,48
140,16,50
141,14,55
142,20,52
143,19,48
144,19,51
145,20,48
146,17,54
147,19,53
148,17,50
149,15,54
150,14,51
151,15,48
152,13,50
153,14,54
154,15,49
155,14,54
156,12,55
157,15,58
158,14,63
159,14,67
160,12,66
161,9,67
162,9,58
163,8,53
164,9,46
165,7,48
166,7,50
167,4,55
168,4,57
169,4,54
170,3,60
171,2,67
172,3,63
173,3,61
174,5,58
175,6,60
176,5,67
177,3,61
178,2,64
179,2,66
180,2,67
181,4,67
182,4,60
183,3,61
184,3,65
185,4,68
186,4,67
187,4,62
188,3,54
189,3,54
190,2,51
191,1,62
192,1,63
193,1,61
194,1,56
195,2,55
196,2,57
197,1,53
198,1,54
199,2,55
200,1,48
201,2,55
202,1,53
203,1,52
204,2,56
205,2,53
206,1,55
207,1,56
208,1,57
209,1,58
210,1,56
211,1,52
212,0,49
213,0,48
214,0,51
215,0,51
216,0,53
217,0,60
218,0,62
219,1,59
220,1,57
221,1,53
222,1,53
223,2,53
224,1,54
225,1,54
226,1,52
227,1,55
228,0,66
229,0,60
230,0,59
231,0,58
232,0,54
233,0,55
234,0,50
235,0,52
236,0,54
237,0,53
238,0,51
239,0,49
240,0,49
241,0,53
242,0,50
243,0,52
244,0,46
245,0,49
246,0,53
247,0,46
248,0,45
249,0,48
250,0,50
251,1,50
252,1,49
253,0,48
254,0,49
255,0,53
256,0,45
257,0,42
258,0,44
259,0,43
260,0,37
261,0,34
262,0,33
263,0,39
264,0,36
265,0,39
266,0,35
267,0,33
268,0,34
269,0,42
270,0,44
271,0,44
272,0,52
273,0,46
274,0,45
275,0,49
276,0,46
277,0,44
278,0,42
279,0,41
280,0,41
281,0,35
282,0,33
283,0,37
284,0,39
285,0,39
286,0,37
287,0,38
288,0,36
289,0,33
290,0,31
291,0,30
292,0,31
293,0,33
294,0,32
295,0,34
296,0,32
297,0,33
298,0,34
299,0,40
300,0,33
301,0,31
302,0,30
303,0,33
304,0,29
305,0,27
306,0,30
307,0,29
308,0,28
309,0,32
310,0,29
311,0,30
312,0,33
313,0,31
314,0,25
315,0,23
316,0,23
317,0,24
318,0,26
319,0,28
320,0,28
321,0,30
322,0,26
323,0,27
324,0,25
325,0,25
326,0,25
327,0,24
328,0,23
329,0,23
330,0,24
331,0,24
332,0,29
333,0,28
334,0,28
335,0,28
336,0,27
337,0,24
338,0,26
339,0,23
340,0,20
341,0,23
342,0,28
343,0,25
344,0,27
345,0,28
346,0,27
347,0,28
348,0,23
349,0,24
350,0,21
351,0,19
352,0,18
353,0,16
354,0,16
355,0,16
356,0,19
357,0,20
358,0,20
359,0,20
360,0,20
361,0,23
362,0,19
363,0,18
364,0,17
365,0,17
366,0,16
