,0,1
0,50,50
1,50,50
2,42,38
3,34,30
4,28,23
5,21,19
6,16,16
7,12,14
8,12,10
9,11,7
10,8,7
11,12,6
12,18,3
13,17,4
14,17,5
15,21,5
16,24,7
17,29,7
18,36,6
19,38,8
20,54,11
21,58,12
22,64,15
23,84,14
24,95,13
25,110,15
26,107,16
27,108,19
28,112,20
29,120,20
30,117,22
31,114,23
32,114,28
33,110,25
34,118,24
35,114,21
36,120,19
37,126,23
38,131,23
39,127,19
40,119,22
41,116,23
42,115,22
43,113,18
44,113,18
45,112,21
46,100,24
47,102,21
48,101,21
49,100,22
50,89,24
51,94,26
52,90,28
53,86,25
54,87,26
55,76,35
56,74,32
57,75,27
58,73,21
59,69,24
60,69,25
61,78,22
62,76,16
63,76,19
64,76,20
65,73,23
66,67,25
67,62,21
68,61,21
69,54,23
70,52,28
71,53,29
72,57,26
73,55,28
74,53,26
75,49,31
76,46,29
77,48,27
78,49,27
79,49,27
80,47,29
81,49,31
82,46,33
83,39,32
84,39,32
85,38,40
86,33,38
87,31,39
88,29,38
89,30,42
90,32,35
91,34,33
92,27,39
93,26,43
94,25,41
95,17,49
96,22,46
97,24,44
98,26,47
99,28,42
100,26,46
101,32,42
102,28,41
103,25,37
104,21,38
105,23,41
106,24,45
107,20,42
108,17,53
109,18,57
110,17,55
111,15,55
112,15,57
113,14,66
114,17,65
115,16,60
116,16,57
117,15,63
118,18,64
119,17,59
120,15,64
121,15,58
122,12,61
123,9,68
124,9,61
125,8,61
126,8,64
127,8,65
128,8,63
129,6,70
130,8,69
131,7,76
132,7,70
133,6,73
134,7,69
135,5,68
136,8,73
137,7,75
138,6,74
139,5,71
140,6,75
141,7,66
142,5,69
143,4,72
144,4,76
145,2,78
146,2,79
147,3,77
148,2,78
149,1,74
150,1,73
151,1,71
152,1,71
153,1,68
154,1,74
155,1,76
156,1,77
157,0,75
158,0,77
159,1,71
160,1,66
161,1,69
162,2,70
163,1,74
164,1,79
165,0,80
166,0,75
167,0,75
168,0,70
169,0,74
170,0,74
171,0,78
172,0,66
173,0,67
174,0,65
175,0,64
176,0,66
177,0,66
178,1,69
179,1,69
180,1,67
181,1,71
182,1,69
183,0,75
184,1,76
185,1,75
186,1,70
187,1,66
188,1,62
189,1,66
190,0,64
191,0,62
192,0,64
193,0,62
194,0,61
195,0,62
196,0,69
197,0,66
198,0,68
199,0,62
200,0,63
201,0,60
202,0,57
203,0,59
204,0,61
205,0,57
206,0,54
207,0,57
208,0,61
209,0,61
210,0,60
211,0,57
212,0,54
213,0,61
214,0,60
215,0,60
216,0,53
217,0,53
218,0,52
219,0,54
220,0,51
221,0,49
222,0,49
223,0,53
224,0,52
225,0,52
226,0,55
227,0,47
228,0,44
229,0,41
230,0,49
231,0,54
232,0,53
233,0,56
234,0,47
235,0,48
236,0,45
237,0,43
238,0,45
239,0,45
240,0,45
241,0,47
242,0,49
243,0,46
244,0,46
245,0,41
246,0,43
247,0,40
248,0,40
249,0,41
250,0,40
251,0,42
252,0,45
253,0,44
254,0,44
255,0,38
256,0,40
257,0,39
258,0,39
259,0,39
260,0,37
261,0,36
262,0,32
263,0,35
264,0,34
265,0,35
266,0,33
267,0,33
268,0,32
269,0,39
270,0,42
271,0,37
272,0,44
273,0,39
274,0,38
275,0,36
276,0,35
277,0,40
278,0,40
279,0,37
280,0,42
281,0,38
282,0,35
283,0,35
284,0,36
285,0,36
286,0,33
287,0,31
288,0,30
289,0,25
290,0,23
291,0,24
292,0,27
293,0,30
294,0,32
295,0,29
296,0,28
297,0,27
298,0,28
299,0,28
300,0,27
301,0,30
302,0,27
303,0,25
304,0,25
305,0,24
306,0,27
307,0,25
308,0,30
309,0,31
310,0,30
311,0,31
312,0,29
313,0,29
314,0,27
315,0,26
316,0,30
317,0,31
318,0,32
319,0,34
320,0,34
321,0,31
322,0,29
323,0,26
324,0,24
325,0,23
326,0,24
327,0,26
328,0,21
329,0,22
330,0,19
331,0,21
332,0,22
333,0,24
334,0,21
335,0,25
336,0,20
337,0,18
338,0,19
339,0,22
340,0,18
341,0,19
342,0,18
343,0,21
344,0,24
345,0,22
346,0,20
347,0,19
348,0,20
349,0,18
350,0,21
351,0,18
352,0,19
353,0,20
354,0,19
355,0,19
356,0,20
357,0,21
358,0,21
359,0,22
360,0,20
361,0,18
362,0,15
363,0,17
364,0,17
365,0,15
366,0,15
