,0,1
0,50,50
1,50,50
2,41,39
3,31,33
4,26,25
5,19,21
6,15,17
7,12,13
8,9,12
9,6,10
10,9,6
11,7,5
12,11,6
13,9,7
14,10,6
15,10,5
16,13,6
17,18,8
18,27,11
19,41,10
20,56,8
21,60,9
22,66,13
23,70,15
24,84,17
25,94,20
26,96,25
27,99,22
28,107,28
29,108,25
30,115,28
31,115,26
32,118,27
33,119,23
34,115,28
35,115,27
36,113,26
37,110,28
38,112,27
39,116,30
40,116,34
41,125,26
42,132,27
43,130,23
44,128,20
45,120,20
46,124,20
47,116,16
48,113,15
49,107,19
50,101,18
51,102,18
52,101,22
53,96,23
54,93,20
55,88,17
56,89,15
57,89,18
58,87,17
59,88,15
60,86,20
61,88,17
62,93,18
63,87,16
64,83,12
65,82,11
66,83,7
67,77,7
68,70,12
69,75,11
70,70,15
71,72,13
72,73,13
73,77,9
74,80,13
75,78,9
76,82,10
77,73,12
78,69,11
79,67,12
80,70,10
81,65,13
82,69,18
83,65,16
84,58,18
85,56,18
86,55,15
87,60,16
88,54,15
89,52,18
90,50,14
91,48,13
92,47,13
93,49,15
94,49,11
95,58,9
96,51,8
97,53,9
98,50,7
99,47,13
100,44,12
101,40,18
102,37,19
103,40,19
104,41,20
105,33,26
106,38,21
107,39,17
108,36,15
109,33,12
110,35,12
111,31,12
112,34,10
113,33,14
114,27,17
115,26,16
116,23,17
117,25,19
118,23,21
119,23,24
120,23,27
121,22,30
122,21,28
123,25,24
124,24,22
125,21,33
126,21,34
127,19,27
128,17,28
129,17,37
130,18,38
131,15,36
132,17,40
133,17,36
134,10,43
135,11,48
136,14,49
137,16,49
138,15,49
139,15,46
140,14,47
141,13,52
142,15,53
143,16,52
144,15,50
145,13,52
146,12,55
147,11,52
148,9,52
149,8,52
150,8,55
151,6,60
152,6,59
153,8,60
154,9,65
155,8,68
156,5,64
157,5,66
158,2,68
159,2,73
160,1,69
161,5,69
162,3,69
163,3,66
164,3,64
165,6,65
166,6,67
167,6,65
168,6,63
169,6,62
170,5,58
171,6,56
172,5,56
173,5,57
174,3,57
175,0,66
176,0,63
177,0,65
178,0,69
179,0,77
180,0,72
181,2,73
182,1,71
183,1,67
184,1,65
185,2,62
186,2,72
187,2,67
188,2,69
189,1,74
190,1,78
191,1,71
192,1,71
193,0,71
194,0,68
195,0,66
196,0,62
197,0,69
198,0,65
199,0,64
200,1,60
201,1,58
202,1,57
203,1,60
204,0,61
205,0,61
206,0,59
207,0,68
208,0,60
209,0,63
210,0,63
211,0,58
212,0,64
213,0,63
214,0,59
215,0,60
216,0,61
217,0,58
218,0,60
219,0,55
220,0,58
221,0,61
222,0,58
223,0,62
224,0,59
225,0,56
226,0,54
227,0,51
228,0,49
229,0,52
230,0,51
231,0,60
232,0,56
233,0,54
234,0,53
235,0,54
236,0,54
237,0,53
238,0,52
239,0,50
240,0,50
241,0,53
242,0,54
243,0,50
244,0,49
245,0,46
246,0,43
247,0,47
248,0,50
249,0,47
250,0,46
251,0,50
252,0,46
253,0,45
254,0,46
255,0,45
256,0,43
257,0,50
258,0,46
259,0,47
260,0,46
261,0,46
262,0,43
263,0,47
264,0,47
265,0,45
266,0,46
267,0,41
268,0,39
269,0,39
270,0,39
271,0,41
272,0,38
273,0,38
274,0,33
275,0,30
276,0,30
277,0,35
278,0,40
279,0,43
280,0,44
281,0,39
282,0,38
283,0,37
284,0,35
285,0,38
286,0,36
287,0,34
288,0,33
289,0,34
290,0,33
291,0,35
292,0,37
293,0,35
294,0,38
295,0,36
296,0,34
297,0,29
298,0,30
299,0,31
300,0,26
301,0,25
302,0,27
303,0,27
304,0,23
305,0,20
306,0,23
307,0,29
308,0,29
309,0,28
310,0,27
311,0,30
312,0,28
313,0,30
314,0,30
315,0,31
316,0,31
317,0,27
318,0,31
319,0,28
320,0,29
321,0,28
322,0,32
323,0,29
324,0,29
325,0,28
326,0,23
327,0,30
328,0,27
329,0,27
330,0,25
331,0,32
332,0,32
333,0,33
334,0,30
335,0,31
336,0,26
337,0,25
338,0,22
339,0,19
340,0,20
341,0,22
342,0,21
343,0,21
344,0,26
345,0,28
346,0,25
347,0,23
348,0,23
349,0,22
350,0,26
351,0,23
352,0,25
353,0,24
354,0,27
355,0,25
356,0,25
357,0,23
358,0,22
359,0,21
360,0,20
361,0,20
362,0,18
363,0,17
364,0,18
365,0,22
366,0,21
