,0,1
0,50,50
1,50,50
2,41,39
3,32,32
4,24,27
5,19,21
6,15,17
7,11,14
8,8,12
9,8,9
10,9,7
11,8,7
12,11,6
13,15,7
14,19,7
15,23,7
16,29,8
17,31,5
18,33,7
19,45,15
20,48,17
21,57,15
22,63,20
23,64,27
24,75,26
25,73,25
26,89,22
27,94,26
28,94,30
29,100,35
30,108,40
31,110,42
32,120,34
33,117,36
34,120,41
35,112,43
36,108,43
37,110,42
38,115,44
39,114,41
40,108,41
41,98,42
42,102,40
43,98,37
44,105,33
45,100,38
46,101,32
47,98,32
48,102,28
49,100,33
50,105,33
51,100,37
52,90,39
53,88,41
54,86,46
55,85,39
56,85,35
57,79,32
58,84,29
59,80,24
60,78,24
61,79,24
62,79,30
63,78,35
64,71,33
65,70,31
66,70,32
67,68,32
68,70,29
69,65,29
70,57,30
71,57,28
72,55,24
73,51,22
74,51,25
75,48,24
76,46,26
77,46,27
78,45,25
79,43,27
80,42,28
81,40,30
82,46,29
83,47,29
84,45,28
85,42,30
86,44,33
87,41,32
88,41,36
89,37,37
90,36,40
91,35,38
92,36,35
93,30,38
94,34,35
95,40,34
96,39,34
97,33,35
98,31,35
99,32,40
100,33,35
101,34,41
102,34,44
103,28,45
104,27,49
105,31,46
106,31,41
107,31,38
108,32,36
109,31,39
110,36,38
111,33,36
112,34,42
113,33,47
114,33,50
115,34,49
116,34,47
117,30,48
118,27,51
119,28,44
120,26,50
121,23,53
122,21,55
123,19,54
124,20,52
125,23,46
126,24,47
127,23,47
128,19,50
129,20,44
130,22,54
131,21,49
132,23,43
133,17,49
134,18,49
135,17,43
136,13,51
137,14,51
138,14,57
139,12,53
140,11,52
141,10,57
142,11,54
143,11,63
144,12,55
145,14,56
146,13,56
147,14,57
148,16,51
149,14,58
150,15,64
151,15,59
152,14,52
153,12,59
154,9,57
155,7,54
156,7,55
157,6,55
158,8,58
159,5,61
160,5,53
161,5,55
162,6,57
163,7,53
164,8,49
165,9,47
166,8,52
167,9,58
168,8,63
169,5,69
170,7,66
171,5,65
172,6,65
173,7,65
174,7,61
175,6,63
176,3,61
177,4,62
178,5,57
179,7,53
180,7,52
181,7,50
182,7,47
183,5,46
184,5,47
185,3,51
186,3,51
187,3,49
188,3,53
189,4,52
190,3,55
191,3,53
192,4,50
193,4,53
194,4,51
195,5,53
196,5,63
197,4,60
198,3,59
199,2,64
200,1,64
201,1,63
202,1,61
203,1,60
204,1,54
205,2,57
206,2,54
207,2,55
208,2,57
209,1,54
210,1,54
211,1,50
212,2,49
213,3,43
214,2,47
215,4,54
216,4,57
217,3,56
218,1,53
219,0,52
220,0,55
221,0,57
222,0,55
223,0,52
224,1,49
225,2,50
226,2,47
227,1,47
228,1,48
229,1,47
230,1,48
231,1,47
232,2,48
233,1,54
234,1,60
235,1,57
236,1,50
237,2,45
238,3,46
239,3,43
240,3,42
241,2,42
242,2,44
243,1,41
244,1,44
245,1,45
246,1,41
247,1,42
248,1,43
249,1,40
250,0,39
251,0,38
252,1,42
253,1,47
254,0,47
255,0,46
256,0,48
257,0,52
258,0,52
259,0,47
260,0,45
261,1,43
262,1,44
263,0,41
264,0,42
265,0,45
266,0,44
267,0,40
268,0,38
269,0,34
270,0,33
271,0,33
272,0,31
273,0,31
274,0,32
275,0,30
276,0,32
277,0,30
278,0,33
279,0,30
280,0,35
281,0,37
282,0,36
283,0,34
284,0,36
285,1,38
286,1,35
287,1,34
288,1,38
289,1,38
290,1,39
291,1,39
292,1,34
293,1,34
294,1,31
295,1,30
296,1,30
297,0,28
298,0,31
299,0,32
300,0,35
301,0,35
302,0,36
303,0,35
304,0,30
305,0,28
306,0,29
307,0,26
308,0,27
309,0,25
310,0,28
311,0,27
312,0,24
313,0,23
314,0,23
315,0,23
316,0,20
317,0,23
318,0,23
319,0,20
320,0,21
321,0,26
322,0,27
323,0,32
324,0,29
325,0,29
326,0,24
327,0,25
328,0,26
329,0,25
330,0,25
331,0,22
332,0,17
333,0,20
334,0,22
335,0,25
336,0,26
337,0,25
338,0,22
339,0,24
340,0,23
341,0,25
342,0,26
343,0,27
344,0,23
345,0,21
346,0,20
347,0,19
348,0,23
349,0,20
350,0,20
351,0,21
352,0,17
353,0,16
354,0,13
355,0,13
356,0,12
357,0,12
358,0,11
359,0,9
360,0,11
361,0,13
362,0,17
363,0,16
364,0,14
365,0,15
366,0,18
