,0,1
0,50,50
1,50,50
2,39,41
3,31,33
4,23,28
5,19,21
6,14,18
7,9,16
8,7,13
9,7,10
10,5,8
11,4,7
12,4,5
13,3,4
14,3,3
15,3,3
16,4,1
17,3,1
18,3,2
19,2,3
20,2,6
21,2,7
22,5,6
23,8,7
24,8,9
25,6,7
26,5,8
27,12,6
28,10,6
29,9,7
30,8,12
31,8,11
32,6,15
33,9,13
34,12,16
35,13,20
36,12,20
37,12,25
38,10,26
39,12,29
40,13,27
41,16,36
42,15,34
43,18,30
44,13,32
45,16,31
46,18,30
47,18,26
48,17,26
49,16,29
50,16,37
51,15,33
52,17,32
53,22,31
54,20,29
55,24,30
56,22,32
57,22,33
58,26,33
59,26,33
60,22,35
61,18,37
62,20,41
63,21,39
64,21,38
65,24,37
66,22,36
67,20,37
68,22,36
69,18,37
70,14,41
71,17,38
72,16,40
73,14,36
74,13,32
75,10,35
76,14,38
77,15,34
78,13,39
79,16,37
80,11,43
81,11,46
82,10,47
83,8,48
84,12,49
85,17,49
86,14,50
87,12,49
88,10,48
89,8,46
90,13,43
91,11,48
92,10,51
93,11,54
94,10,58
95,8,61
96,7,58
97,7,57
98,8,57
99,8,56
100,10,54
101,10,51
102,10,52
103,9,47
104,9,44
105,8,41
106,10,42
107,9,43
108,10,43
109,7,41
110,6,42
111,5,42
112,6,44
113,4,44
114,2,43
115,3,51
116,4,51
117,2,61
118,2,61
119,4,61
120,5,61
121,3,56
122,4,53
123,4,49
124,6,49
125,5,50
126,5,46
127,3,45
128,5,45
129,3,48
130,2,53
131,3,56
132,1,66
133,0,61
134,0,60
135,0,59
136,0,59
137,0,54
138,1,58
139,0,62
140,1,59
141,1,61
142,2,54
143,2,49
144,2,52
145,2,52
146,1,46
147,1,49
148,3,46
149,4,43
150,2,47
151,1,49
152,2,49
153,2,47
154,2,47
155,2,52
156,2,53
157,1,55
158,0,58
159,0,54
160,0,58
161,0,57
162,0,58
163,0,56
164,1,56
165,0,59
166,0,62
167,0,54
168,0,52
169,0,54
170,0,53
171,0,49
172,0,48
173,0,48
174,0,45
175,0,44
176,0,48
177,0,47
178,0,47
179,0,45
180,0,48
181,0,51
182,0,48
183,0,47
184,0,46
185,0,46
186,0,44
187,0,42
188,0,44
189,0,49
190,0,50
191,0,45
192,0,46
193,0,45
194,0,46
195,0,46
196,0,44
197,0,41
198,0,43
199,0,46
200,0,51
201,0,47
202,0,50
203,0,45
204,0,44
205,0,52
206,0,54
207,0,52
208,0,47
209,0,42
210,0,41
211,0,43
212,0,38
213,0,36
214,0,37
215,0,38
216,0,46
217,0,43
218,0,49
219,0,48
220,0,47
221,0,51
222,0,49
223,0,47
224,0,46
225,0,42
226,0,41
227,0,49
228,0,48
229,0,49
230,0,49
231,0,47
232,0,49
233,0,42
234,0,44
235,0,46
236,0,46
237,0,44
238,0,40
239,0,37
240,0,38
241,0,36
242,0,34
243,0,30
244,0,32
245,0,31
246,0,28
247,0,26
248,0,30
249,0,28
250,0,31
251,0,32
252,0,37
253,0,40
254,0,39
255,0,42
256,0,38
257,0,36
258,0,35
259,0,41
260,0,40
261,0,40
262,0,43
263,0,45
264,0,46
265,0,42
266,0,35
267,0,39
268,0,38
269,0,37
270,0,41
271,0,40
272,0,36
273,0,34
274,0,35
275,0,32
276,0,33
277,0,34
278,0,32
279,0,33
280,0,33
281,0,35
282,0,34
283,0,37
284,0,40
285,0,37
286,0,40
287,0,42
288,0,37
289,0,40
290,0,41
291,0,41
292,0,40
293,0,35
294,0,33
295,0,33
296,0,32
297,0,33
298,0,32
299,0,32
300,0,38
301,0,38
302,0,36
303,0,40
304,0,39
305,0,37
306,0,33
307,0,36
308,0,29
309,0,31
310,0,33
311,0,32
312,0,42
313,0,39
314,0,36
315,0,35
316,0,35
317,0,36
318,0,33
319,0,30
320,0,31
321,0,28
322,0,31
323,0,30
324,0,26
325,0,26
326,0,27
327,0,24
328,0,23
329,0,22
330,0,23
331,0,23
332,0,26
333,0,24
334,0,23
335,0,26
336,0,25
337,0,26
338,0,24
339,0,23
340,0,25
341,0,29
342,0,24
343,0,26
344,0,29
345,0,27
346,0,26
347,0,26
348,0,26
349,0,28
350,0,28
351,0,30
352,0,29
353,0,27
354,0,25
355,0,31
356,0,30
357,0,29
358,0,28
359,0,32
360,0,33
361,0,33
362,0,32
363,0,27
364,0,29
365,0,30
366,0,33
