,0,1
0,50,50
1,50,50
2,44,36
3,38,26
4,30,21
5,23,17
6,21,11
7,17,8
8,14,6
9,10,6
10,7,5
11,4,5
12,3,4
13,2,3
14,2,2
15,1,2
16,2,1
17,1,1
18,2,1
19,2,1
20,5,1
21,8,1
22,13,3
23,22,3
24,22,4
25,25,2
26,25,5
27,26,6
28,26,4
29,29,8
30,26,7
31,25,9
32,28,11
33,28,12
34,28,10
35,31,8
36,31,8
37,35,10
38,38,12
39,45,10
40,48,7
41,53,6
42,58,8
43,57,11
44,54,14
45,53,13
46,48,11
47,47,15
48,48,17
49,46,17
50,41,20
51,42,18
52,47,16
53,46,15
54,48,13
55,50,13
56,51,12
57,48,15
58,55,11
59,53,11
60,47,9
61,49,7
62,51,6
63,49,8
64,42,9
65,44,8
66,42,10
67,47,12
68,47,9
69,49,12
70,46,14
71,47,13
72,48,12
73,48,13
74,54,12
75,50,11
76,50,11
77,48,6
78,49,5
79,50,6
80,44,8
81,43,8
82,44,6
83,43,5
84,46,4
85,46,5
86,43,7
87,40,10
88,38,11
89,40,11
90,38,9
91,35,11
92,41,11
93,40,7
94,40,7
95,40,6
96,42,5
97,38,5
98,33,5
99,33,3
100,31,3
101,31,3
102,31,4
103,30,7
104,30,6
105,29,6
106,26,7
107,28,6
108,32,5
109,33,6
110,34,6
111,35,5
112,42,4
113,40,4
114,40,4
115,40,4
116,42,4
117,40,6
118,38,7
119,39,6
120,38,4
121,35,5
122,35,6
123,34,7
124,35,7
125,34,5
126,37,3
127,32,3
128,31,4
129,39,1
130,36,1
131,36,2
132,33,4
133,36,4
134,34,4
135,38,3
136,37,3
137,33,5
138,35,5
139,37,3
140,38,4
141,39,4
142,39,9
143,42,7
144,41,6
145,36,8
146,33,7
147,32,6
148,33,6
149,34,6
150,30,5
151,28,4
152,26,5
153,25,5
154,28,4
155,27,6
156,23,7
157,20,8
158,19,8
159,20,8
160,17,7
161,16,6
162,16,8
163,24,9
164,23,11
165,20,11
166,16,11
167,12,13
168,15,11
169,17,11
170,19,13
171,20,13
172,19,16
173,21,13
174,21,10
175,19,12
176,19,11
177,25,12
178,25,11
179,24,11
180,22,18
181,20,24
182,21,18
183,17,18
184,13,23
185,15,19
186,16,18
187,15,23
188,17,22
189,14,21
190,18,20
191,17,21
192,16,24
193,14,28
194,13,31
195,13,32
196,13,27
197,12,34
198,15,34
199,12,34
200,13,35
201,10,35
202,8,34
203,6,34
204,5,37
205,4,40
206,3,39
207,4,33
208,3,28
209,3,29
210,4,27
211,5,29
212,6,33
213,6,35
214,7,37
215,6,38
216,6,41
217,6,41
218,5,40
219,3,45
220,2,45
221,3,43
222,2,45
223,3,47
224,3,45
225,3,45
226,3,43
227,3,43
228,3,41
229,3,41
230,3,38
231,2,39
232,3,43
233,2,42
234,2,44
235,2,39
236,3,37
237,3,40
238,4,37
239,3,37
240,2,36
241,1,44
242,1,39
243,1,43
244,0,42
245,1,43
246,1,45
247,0,42
248,0,40
249,0,36
250,0,40
251,0,47
252,0,44
253,0,43
254,0,44
255,0,40
256,0,37
257,0,36
258,0,35
259,0,34
260,0,31
261,0,32
262,0,36
263,0,39
264,0,43
265,0,40
266,0,39
267,0,45
268,0,42
269,0,43
270,0,42
271,1,46
272,1,42
273,1,40
274,1,34
275,1,34
276,1,33
277,1,32
278,1,33
279,0,35
280,0,35
281,0,32
282,0,35
283,0,38
284,0,40
285,0,43
286,0,36
287,0,40
288,0,40
289,0,42
290,0,38
291,0,37
292,0,40
293,0,41
294,0,44
295,0,42
296,0,44
297,0,50
298,0,47
299,0,44
300,0,40
301,0,36
302,0,37
303,0,34
304,0,32
305,0,30
306,0,28
307,0,35
308,0,35
309,0,29
310,0,32
311,0,31
312,0,31
313,0,31
314,0,34
315,0,35
316,0,35
317,0,31
318,0,31
319,0,27
320,0,23
321,0,24
322,0,27
323,0,28
324,0,29
325,0,28
326,0,30
327,0,32
328,0,31
329,0,35
330,0,33
331,0,31
332,0,31
333,0,35
334,0,35
335,0,34
336,0,31
337,0,34
338,0,34
339,0,38
340,0,34
341,0,36
342,0,35
343,0,33
344,0,34
345,0,35
346,0,39
347,0,38
348,0,39
349,0,36
350,0,36
351,0,38
352,0,32
353,0,40
354,0,39
355,0,40
356,0,35
357,0,36
358,0,37
359,0,35
360,0,38
361,0,34
362,0,37
363,0,34
364,0,32
365,0,29
366,0,29
