,0,1
0,50,50
1,50,50
2,41,39
3,32,32
4,27,24
5,20,20
6,15,17
7,12,13
8,8,12
9,5,11
10,3,9
11,3,6
12,2,5
13,1,4
14,1,3
15,1,2
16,1,3
17,1,2
18,3,4
19,3,3
20,8,3
21,7,5
22,9,7
23,17,11
24,27,13
25,28,15
26,33,18
27,38,12
28,43,12
29,49,13
30,53,14
31,55,9
32,48,8
33,46,8
34,42,8
35,40,11
36,42,10
37,35,11
38,43,11
39,41,9
40,42,11
41,45,12
42,47,12
43,47,10
44,48,9
45,51,10
46,51,10
47,48,12
48,43,14
49,45,10
50,51,13
51,52,15
52,51,13
53,43,11
54,42,12
55,40,12
56,50,11
57,49,9
58,49,10
59,52,13
60,53,15
61,57,14
62,57,11
63,51,12
64,57,12
65,56,14
66,56,13
67,55,17
68,52,15
69,46,17
70,46,16
71,43,15
72,46,11
73,52,11
74,56,9
75,50,8
76,45,7
77,50,9
78,46,8
79,41,11
80,46,9
81,46,8
82,47,9
83,43,9
84,44,9
85,45,4
86,44,9
87,49,9
88,52,10
89,54,7
90,56,8
91,53,9
92,52,5
93,58,3
94,57,2
95,59,2
96,58,2
97,57,4
98,60,3
99,62,4
100,58,4
101,58,3
102,52,4
103,55,4
104,56,5
105,52,5
106,50,4
107,49,2
108,50,2
109,49,1
110,46,1
111,46,1
112,39,1
113,34,0
114,37,1
115,31,3
116,33,5
117,34,5
118,34,6
119,36,4
120,39,4
121,37,5
122,34,5
123,38,4
124,39,4
125,40,2
126,43,3
127,41,3
128,37,3
129,42,3
130,49,0
131,44,4
132,39,3
133,33,4
134,34,5
135,34,4
136,36,4
137,34,5
138,36,6
139,36,5
140,33,4
141,32,4
142,33,4
143,30,3
144,32,3
145,32,5
146,30,5
147,28,5
148,32,5
149,27,6
150,26,9
151,25,8
152,25,7
153,26,5
154,23,5
155,25,6
156,26,7
157,26,6
158,28,7
159,28,6
160,29,8
161,27,7
162,30,5
163,27,7
164,28,10
165,31,8
166,27,10
167,25,9
168,25,8
169,25,7
170,24,9
171,22,10
172,20,12
173,24,11
174,26,12
175,24,13
176,23,12
177,25,13
178,23,13
179,25,14
180,23,17
181,25,14
182,26,15
183,21,15
184,23,15
185,20,15
186,22,20
187,25,22
188,23,21
189,20,18
190,24,17
191,21,18
192,20,17
193,16,22
194,17,21
195,19,19
196,22,20
197,20,21
198,20,18
199,17,19
200,16,16
201,17,18
202,15,19
203,16,23
204,16,21
205,14,22
206,15,20
207,16,15
208,16,15
209,16,19
210,17,23
211,15,24
212,12,30
213,9,31
214,12,31
215,12,26
216,13,21
217,14,23
218,12,22
219,12,26
220,11,24
221,12,25
222,9,26
223,7,25
224,7,24
225,9,22
226,9,20
227,10,19
228,8,23
229,8,24
230,8,25
231,8,28
232,8,26
233,8,31
234,11,31
235,15,26
236,14,23
237,11,24
238,14,24
239,14,22
240,15,21
241,16,17
242,17,17
243,13,21
244,14,27
245,11,27
246,10,23
247,10,20
248,8,20
249,7,25
250,7,22
251,8,19
252,9,14
253,9,15
254,9,12
255,6,15
256,8,14
257,9,18
258,9,24
259,8,23
260,6,21
261,8,20
262,8,18
263,7,18
264,9,15
265,6,21
266,6,20
267,6,19
268,5,24
269,4,25
270,3,23
271,6,23
272,5,20
273,5,21
274,3,27
275,4,30
276,4,27
277,6,32
278,5,32
279,6,30
280,8,27
281,7,28
282,5,28
283,5,31
284,4,29
285,3,27
286,4,25
287,3,24
288,3,21
289,2,27
290,3,26
291,3,25
292,3,24
293,3,24
294,4,28
295,4,30
296,4,30
297,1,38
298,5,33
299,3,33
300,5,30
301,3,31
302,2,32
303,2,30
304,2,30
305,3,33
306,2,29
307,2,28
308,1,27
309,1,28
310,1,25
311,2,27
312,2,24
313,3,21
314,3,20
315,3,20
316,3,22
317,3,30
318,3,28
319,4,29
320,1,33
321,1,30
322,1,26
323,2,26
324,2,26
325,1,25
326,1,25
327,1,22
328,0,29
329,0,32
330,0,31
331,0,32
332,1,32
333,1,32
334,1,28
335,0,29
336,0,28
337,0,26
338,0,26
339,0,23
340,0,28
341,0,29
342,0,29
343,1,30
344,1,25
345,1,28
346,1,33
347,1,29
348,1,27
349,1,27
350,1,31
351,1,29
352,1,28
353,1,27
354,0,27
355,0,26
356,0,27
357,0,30
358,0,33
359,0,32
360,0,30
361,0,29
362,0,31
363,0,29
364,0,29
365,0,26
366,0,24
