,0,1
0,50,50
1,50,50
2,40,40
3,31,33
4,24,27
5,19,21
6,15,17
7,13,12
8,10,10
9,9,7
10,7,5
11,5,5
12,3,5
13,3,4
14,3,2
15,3,2
16,2,2
17,4,1
18,5,1
19,7,1
20,7,2
21,11,3
22,16,3
23,22,2
24,20,3
25,27,4
26,29,4
27,25,5
28,26,6
29,25,8
30,25,7
31,27,7
32,28,5
33,30,7
34,27,9
35,29,6
36,29,6
37,30,5
38,36,3
39,38,4
40,38,5
41,43,5
42,42,5
43,45,4
44,52,4
45,53,5
46,60,4
47,61,5
48,69,6
49,64,7
50,65,4
51,60,3
52,58,3
53,49,3
54,46,5
55,45,7
56,43,8
57,44,9
58,44,8
59,49,9
60,46,6
61,47,5
62,44,7
63,39,10
64,41,7
65,45,5
66,45,7
67,59,9
68,51,9
69,48,10
70,50,10
71,54,7
72,51,10
73,58,9
74,51,8
75,48,10
76,49,12
77,50,14
78,48,13
79,46,12
80,46,13
81,46,15
82,42,15
83,44,16
84,44,16
85,48,15
86,47,11
87,40,14
88,43,13
89,43,13
90,39,14
91,38,17
92,41,17
93,39,14
94,37,13
95,33,13
96,32,16
97,33,14
98,34,13
99,31,13
100,31,15
101,29,17
102,27,16
103,30,17
104,31,16
105,33,11
106,30,9
107,26,12
108,29,10
109,28,14
110,27,16
111,25,15
112,23,14
113,19,16
114,20,21
115,24,17
116,26,17
117,25,19
118,23,21
119,24,23
120,23,23
121,24,25
122,29,22
123,25,22
124,25,27
125,24,31
126,25,32
127,23,33
128,19,36
129,18,33
130,25,26
131,22,26
132,21,20
133,19,24
134,16,25
135,17,24
136,16,24
137,11,26
138,12,23
139,11,24
140,11,23
141,8,29
142,8,31
143,8,29
144,9,26
145,12,26
146,10,27
147,11,28
148,11,26
149,11,27
150,13,28
151,15,26
152,16,31
153,11,35
154,11,37
155,10,41
156,11,43
157,9,38
158,9,37
159,10,37
160,8,36
161,7,41
162,5,41
163,5,38
164,6,39
165,4,40
166,4,42
167,5,41
168,6,41
169,5,46
170,6,41
171,8,36
172,8,39
173,5,35
174,2,41
175,2,45
176,2,39
177,2,40
178,2,41
179,4,42
180,4,39
181,4,36
182,4,37
183,5,34
184,3,31
185,2,38
186,2,39
187,2,43
188,1,40
189,2,41
190,2,47
191,2,41
192,2,41
193,3,44
194,3,40
195,3,44
196,0,47
197,0,46
198,1,40
199,1,40
200,1,38
201,2,39
202,4,39
203,3,41
204,3,42
205,4,41
206,5,39
207,5,37
208,5,38
209,4,39
210,5,44
211,5,46
212,5,41
213,6,43
214,4,38
215,4,39
216,2,37
217,2,35
218,2,34
219,2,32
220,2,31
221,1,33
222,1,34
223,1,35
224,1,36
225,1,36
226,1,28
227,0,28
228,0,29
229,0,35
230,0,38
231,0,45
232,1,42
233,1,43
234,1,43
235,1,51
236,0,52
237,0,52
238,0,48
239,0,43
240,0,45
241,0,41
242,0,41
243,0,39
244,0,41
245,1,34
246,1,33
247,1,31
248,1,34
249,1,30
250,0,27
251,1,28
252,1,32
253,1,32
254,1,33
255,1,35
256,1,41
257,1,40
258,1,42
259,1,42
260,1,46
261,1,46
262,1,42
263,2,38
264,2,37
265,2,36
266,2,36
267,2,34
268,1,35
269,1,36
270,1,35
271,1,36
272,1,37
273,0,37
274,0,38
275,0,38
276,0,37
277,0,38
278,0,43
279,0,42
280,0,42
281,0,36
282,0,33
283,0,29
284,0,31
285,1,30
286,1,29
287,1,28
288,0,28
289,0,27
290,0,28
291,0,34
292,0,32
293,0,34
294,0,40
295,0,41
296,0,41
297,0,41
298,0,43
299,0,46
300,0,43
301,0,39
302,0,41
303,0,37
304,0,36
305,0,37
306,0,31
307,0,28
308,1,26
309,1,27
310,1,24
311,1,25
312,1,23
313,2,21
314,1,32
315,1,35
316,1,37
317,0,39
318,0,42
319,0,39
320,0,49
321,0,48
322,0,46
323,0,45
324,0,45
325,0,44
326,0,39
327,1,39
328,0,37
329,0,34
330,0,35
331,0,32
332,0,30
333,0,29
334,0,32
335,0,32
336,0,28
337,0,33
338,0,33
339,0,32
340,0,30
341,0,35
342,0,38
343,0,34
344,0,40
345,0,34
346,0,32
347,0,28
348,0,26
349,0,25
350,0,23
351,0,25
352,0,22
353,0,24
354,0,22
355,0,27
356,0,25
357,0,28
358,0,30
359,0,27
360,0,30
361,0,34
362,0,33
363,0,29
364,0,32
365,0,31
366,0,33
