,0,1
0,50,50
1,50,50
2,40,40
3,34,30
4,28,23
5,20,20
6,18,14
7,15,10
8,14,6
9,13,3
10,10,2
11,9,0
12,7,0
13,5,0
14,4,0
15,4,0
16,3,1
17,6,1
18,9,1
19,11,1
20,13,1
21,22,1
22,29,1
23,37,1
24,45,1
25,52,1
26,59,1
27,59,1
28,65,1
29,67,3
30,72,4
31,71,5
32,64,8
33,61,7
34,61,8
35,60,11
36,60,9
37,62,5
38,56,5
39,53,5
40,49,5
41,48,2
42,52,3
43,53,4
44,51,6
45,46,7
46,49,7
47,57,6
48,54,4
49,52,6
50,54,6
51,57,10
52,57,9
53,56,10
54,53,10
55,54,9
56,54,9
57,57,11
58,58,10
59,55,11
60,63,10
61,62,9
62,63,9
63,61,7
64,57,8
65,55,7
66,52,10
67,51,6
68,42,8
69,43,6
70,40,7
71,44,10
72,46,11
73,44,9
74,44,7
75,43,5
76,49,6
77,45,8
78,39,9
79,42,6
80,44,5
81,41,5
82,39,7
83,41,5
84,40,7
85,44,4
86,40,4
87,43,4
88,43,6
89,39,7
90,37,6
91,37,5
92,36,7
93,38,7
94,35,7
95,35,9
96,37,11
97,35,9
98,41,8
99,40,8
100,41,6
101,37,7
102,35,8
103,32,10
104,33,10
105,34,9
106,39,10
107,35,9
108,34,10
109,29,12
110,23,16
111,25,18
112,26,17
113,25,15
114,23,17
115,26,19
116,23,20
117,23,17
118,24,16
119,23,18
120,21,15
121,23,15
122,26,14
123,28,16
124,27,16
125,26,18
126,30,20
127,27,19
128,24,21
129,25,23
130,20,27
131,21,30
132,20,24
133,18,24
134,16,29
135,12,30
136,10,33
137,9,34
138,7,33
139,9,31
140,10,33
141,12,30
142,15,24
143,20,26
144,19,24
145,18,28
146,17,28
147,18,27
148,18,28
149,14,30
150,13,32
151,12,38
152,13,37
153,11,33
154,11,31
155,9,28
156,8,23
157,5,27
158,6,26
159,6,26
160,5,26
161,5,26
162,5,28
163,2,36
164,4,37
165,4,37
166,4,39
167,7,35
168,7,38
169,7,37
170,8,38
171,6,40
172,7,45
173,8,43
174,7,51
175,7,51
176,9,49
177,8,45
178,5,47
179,7,44
180,9,39
181,11,38
182,8,41
183,6,45
184,4,39
185,3,41
186,2,46
187,3,43
188,4,45
189,5,43
190,7,43
191,4,42
192,4,40
193,3,45
194,3,45
195,2,46
196,1,46
197,1,46
198,1,49
199,1,48
200,1,46
201,1,41
202,1,45
203,2,43
204,2,45
205,2,44
206,2,37
207,3,38
208,3,37
209,3,40
210,3,36
211,3,41
212,2,42
213,1,38
214,0,41
215,0,40
216,0,44
217,0,39
218,0,42
219,0,44
220,0,44
221,0,46
222,0,40
223,0,40
224,0,41
225,1,40
226,0,38
227,0,41
228,0,41
229,0,38
230,0,38
231,0,32
232,0,31
233,0,31
234,0,28
235,0,32
236,0,40
237,0,37
238,0,37
239,0,39
240,0,34
241,0,38
242,0,37
243,0,36
244,0,33
245,0,31
246,0,32
247,0,32
248,0,33
249,0,33
250,0,41
251,0,40
252,0,44
253,0,41
254,0,42
255,0,38
256,0,39
257,0,38
258,0,35
259,0,40
260,0,39
261,0,37
262,1,39
263,0,44
264,0,42
265,0,39
266,0,39
267,0,38
268,0,33
269,0,36
270,0,34
271,0,35
272,0,34
273,0,35
274,0,37
275,0,37
276,0,39
277,0,36
278,0,32
279,0,36
280,0,34
281,0,31
282,0,30
283,0,33
284,0,30
285,0,32
286,0,33
287,0,33
288,0,36
289,0,35
290,0,33
291,0,36
292,0,34
293,0,31
294,0,31
295,0,31
296,0,30
297,0,37
298,0,35
299,0,36
300,0,33
301,0,37
302,0,42
303,0,42
304,0,39
305,0,43
306,0,44
307,0,39
308,0,39
309,0,37
310,0,34
311,0,32
312,0,30
313,0,28
314,0,23
315,0,21
316,0,23
317,0,26
318,0,28
319,0,32
320,0,31
321,0,30
322,0,35
323,0,30
324,0,35
325,0,32
326,0,33
327,0,34
328,0,33
329,0,35
330,0,33
331,0,44
332,0,39
333,0,38
334,0,35
335,0,36
336,0,31
337,0,26
338,0,27
339,0,27
340,0,25
341,0,31
342,0,32
343,0,26
344,0,30
345,0,35
346,0,35
347,0,33
348,0,32
349,0,33
350,0,34
351,0,33
352,0,27
353,0,28
354,0,30
355,0,29
356,0,30
357,0,32
358,0,28
359,0,29
360,0,28
361,0,26
362,0,26
363,0,27
364,0,33
365,0,29
366,0,27
