,0,1
0,50,50
1,50,50
2,40,40
3,31,33
4,22,29
5,19,21
6,16,16
7,12,13
8,9,11
9,8,8
10,6,6
11,5,4
12,5,2
13,5,2
14,5,1
15,4,2
16,3,2
17,3,2
18,3,3
19,4,2
20,5,2
21,5,2
22,8,4
23,12,2
24,18,2
25,21,2
26,28,1
27,30,1
28,27,2
29,31,3
30,35,2
31,34,2
32,29,1
33,30,2
34,29,3
35,25,3
36,29,3
37,32,3
38,35,4
39,37,5
40,39,5
41,42,7
42,44,4
43,51,5
44,52,8
45,57,7
46,59,8
47,55,9
48,53,8
49,54,10
50,53,8
51,49,10
52,47,12
53,43,10
54,50,8
55,44,7
56,45,8
57,43,6
58,44,5
59,44,6
60,42,10
61,42,10
62,40,10
63,44,11
64,49,13
65,48,18
66,48,15
67,54,18
68,57,14
69,58,12
70,52,12
71,51,10
72,47,7
73,46,5
74,47,4
75,46,5
76,45,6
77,42,7
78,42,8
79,47,7
80,41,8
81,42,8
82,40,6
83,42,10
84,40,8
85,42,8
86,46,10
87,46,7
88,49,6
89,48,6
90,44,6
91,50,6
92,46,7
93,49,6
94,44,8
95,39,12
96,40,11
97,37,11
98,35,10
99,34,10
100,31,9
101,28,10
102,28,9
103,26,11
104,30,8
105,30,12
106,34,12
107,34,14
108,37,14
109,34,13
110,31,12
111,36,15
112,32,16
113,32,19
114,32,24
115,35,22
116,34,19
117,31,18
118,29,16
119,32,13
120,35,11
121,28,13
122,26,11
123,24,17
124,23,18
125,25,21
126,24,21
127,21,25
128,28,27
129,23,28
130,26,24
131,24,23
132,28,22
133,27,19
134,31,15
135,28,18
136,29,14
137,26,12
138,24,11
139,24,14
140,28,14
141,26,16
142,23,19
143,28,18
144,23,21
145,28,19
146,30,20
147,26,22
148,22,23
149,23,24
150,24,28
151,24,23
152,26,23
153,26,22
154,26,23
155,23,23
156,26,17
157,25,19
158,23,17
159,23,17
160,21,16
161,19,15
162,21,16
163,17,20
164,16,23
165,15,26
166,12,29
167,14,27
168,14,25
169,17,22
170,16,20
171,18,25
172,15,28
173,17,30
174,23,28
175,22,25
176,19,26
177,20,25
178,22,25
179,18,27
180,13,34
181,8,33
182,10,32
183,11,26
184,12,30
185,15,26
186,14,28
187,13,31
188,12,28
189,10,29
190,10,26
191,15,23
192,13,25
193,13,26
194,11,28
195,10,26
196,9,31
197,7,33
198,7,30
199,9,33
200,10,32
201,10,38
202,12,36
203,13,38
204,11,36
205,6,37
206,8,37
207,9,40
208,8,42
209,6,37
210,8,35
211,6,36
212,3,39
213,6,35
214,5,38
215,5,36
216,4,36
217,4,33
218,4,32
219,5,34
220,4,37
221,3,37
222,4,38
223,5,37
224,4,35
225,4,39
226,4,39
227,2,39
228,3,37
229,4,40
230,3,45
231,3,48
232,3,44
233,2,37
234,3,37
235,3,36
236,3,31
237,4,31
238,6,34
239,6,35
240,3,37
241,4,42
242,2,42
243,2,44
244,2,43
245,2,41
246,2,45
247,2,45
248,2,37
249,2,35
250,1,33
251,0,31
252,0,33
253,0,35
254,0,37
255,0,38
256,0,39
257,0,41
258,0,36
259,0,37
260,0,33
261,0,35
262,0,39
263,0,37
264,0,37
265,0,36
266,0,40
267,0,41
268,0,39
269,0,35
270,0,42
271,0,42
272,1,36
273,0,37
274,1,34
275,2,39
276,1,41
277,1,42
278,1,43
279,1,45
280,1,39
281,1,40
282,1,38
283,1,40
284,1,39
285,1,36
286,0,35
287,0,34
288,0,37
289,0,32
290,0,34
291,0,32
292,0,33
293,0,36
294,0,39
295,0,34
296,0,31
297,0,30
298,0,32
299,0,37
300,0,33
301,0,35
302,0,35
303,0,35
304,0,35
305,0,34
306,0,33
307,0,32
308,0,30
309,0,31
310,0,29
311,0,32
312,0,28
313,0,28
314,0,25
315,0,32
316,0,31
317,0,30
318,0,30
319,0,32
320,0,35
321,0,33
322,0,33
323,0,28
324,0,34
325,0,36
326,0,32
327,0,28
328,0,29
329,0,30
330,0,31
331,0,32
332,0,36
333,0,35
334,0,35
335,0,38
336,0,38
337,0,38
338,0,35
339,0,32
340,0,33
341,0,32
342,0,33
343,0,32
344,0,28
345,0,25
346,0,28
347,0,29
348,0,34
349,0,36
350,0,34
351,0,37
352,0,37
353,0,36
354,0,30
355,0,29
356,0,30
357,0,32
358,0,28
359,0,27
360,0,32
361,0,32
362,0,31
363,0,32
364,0,32
365,0,31
366,0,28
